"year","di_id","pov_survey"
2018,"DZ",0
2005,"DZ",0.5
2007,"DZ",0
2008,"DZ",0
2009,"DZ",0
2006,"DZ",0.5
2011,"DZ",0
2012,"DZ",0
2013,"DZ",0
2010,"DZ",0
2016,"DZ",0
2017,"DZ",0
2004,"DZ",0.5
2014,"DZ",0
2015,"DZ",0
2005,"AO",0.5
2006,"AO",0.5
2007,"AO",0.5
2009,"AO",1
2010,"AO",1
2011,"AO",1
2008,"AO",0.5
2013,"AO",0
2014,"AO",0
2015,"AO",0
2012,"AO",0.5
2004,"AO",0.5
2016,"AO",0
2017,"AO",0
2018,"AO",0
2006,"BJ",0
2007,"BJ",0.5
2008,"BJ",1
2009,"BJ",1
2010,"BJ",1
2011,"BJ",1
2012,"BJ",1
2013,"BJ",1
2014,"BJ",1
2015,"BJ",1
2016,"BJ",1
2004,"BJ",0.5
2005,"BJ",0.5
2017,"BJ",1
2018,"BJ",1
2018,"BW",0
2005,"BW",1
2006,"BW",0.5
2008,"BW",0.5
2009,"BW",0.5
2010,"BW",0.5
2007,"BW",0.5
2013,"BW",1
2014,"BW",0.5
2015,"BW",0
2016,"BW",0
2017,"BW",0
2004,"BW",1
2011,"BW",1
2012,"BW",1
2004,"BF",1
2007,"BF",1
2008,"BF",1
2005,"BF",1
2006,"BF",1
2011,"BF",1
2012,"BF",1
2013,"BF",1
2014,"BF",1
2015,"BF",1
2016,"BF",1
2017,"BF",1
2018,"BF",1
2010,"BF",1
2009,"BF",1
2018,"BI",0
2007,"BI",0.5
2008,"BI",0.5
2009,"BI",0.5
2010,"BI",0
2011,"BI",0
2012,"BI",0
2013,"BI",0
2014,"BI",0
2015,"BI",0
2016,"BI",0.5
2017,"BI",0.5
2004,"BI",0
2005,"BI",0
2006,"BI",0
2005,"CV",1
2006,"CV",1
2004,"CV",
2009,"CV",1
2010,"CV",1
2011,"CV",0.5
2012,"CV",0.5
2013,"CV",0.5
2014,"CV",0
2015,"CV",0
2016,"CV",0
2017,"CV",0
